Propose Measure,Measure Type,Measure Description,Measure Code,LED Manufacturer,Model Number,Proposed Qty,Proposed Total Units,Lumens / Fixture,Watts / Fixture,Efficacy / Proposed Device,INC,INC 2,DLC / Energy Star ID,Reported Model Number,Reported Lumens,Reported Wattage,Reported Efficacy
(2x4)LED40W,LED Troffer Luminaires,New LED troffer for 2x4 luminaires,RL 101,Builders Pack,44-6012-40W-40K-TR2-D-[N;S]-B,,,5226,41.3,126.54,$100,$350.00,,44-6012-40W-40K-TR2-D-[N;S]-B,5226,41.3,126.54
(2x2)LED20W,LED Troffer Luminaires,New LED troffer for 2x2 and 1x4 luminaires,RL102,Builders Pack,CR20-20W-22-40K-D-S,,,2504.98,20.15,124.32,$70,$245.00,,CR20-20W-22-40K-D-S,2504.98,20.15,124.32
(1x4)LED40W_SM,LED Linear Ambient/Stairwell Luminaires,New LED linear ambient luminaire - Strip or Wrap fixtures,RL 111B,Builders Pack,TR11-24W-120-40K,4,,3193.5,24.46,130.56,$48,$168.00,,TR11-24W-120-40K,3193.5,24.46,130.56
(1x4)LED40W_Stairwell,LED Linear Ambient/Stairwell Luminaires,New LED stairwell luminaire,RL 112,Builders Pack,TR11-24W-120-40K,4,,3193.5,24.46,130.56,$100,$350.00,,TR11-24W-120-40K,3193.5,24.46,130.56
(1x8)LED64W_SM,LED Linear Ambient/Stairwell Luminaires,New LED linear ambient luminaire - Strip or Wrap fixtures,,Builders Pack,TR12-64W-240-40K-PDN-A,8,,8394.5,63.39,132.42,$96,$336.00,,TR12-64W-240-40K-PDN-A,8394.5,63.39,132.42
4ft Integrated Strip Light (LB),LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 5,000 lm  - 9,999 lm",RL 141,Builders Pack,"EPA36-T8AL-120-730-840-[5.8G,DDS,TR,APP]",,,5218.99,34.28,152.2,$125,$437.50,,"EPA36-T8AL-120-730-840-[5.8G,DDS,TR,APP]",5218.99,34.28,152.2
WP_LED54W,LED Exterior Luminaires,"New LED exterior luminaire - 5,000 lm - 9,999 lm",RL 152,GreenTek Energy Systems,GT-SWP-55W-LB[S;blank][R;balnk][P;balnk][-a40K,,,7033.9,54.38,129.35,$200,$700.00,,GT-SWP-55W-LB[S;blank][R;balnk][P;balnk][-a40K,7033.9,54.38,129.35
WP_LED60W,LED Exterior Luminaires,"New LED exterior luminaire - 5,000 lm - 9,999 lm",RL 152,GreenTek Energy Systems,GT-SSWP-60W-LB[S;Blank][M;Bkank]-50K,,,7601.8,60.26,126.15,$200,$700.00,,GT-SSWP-60W-LB[S;Blank][M;Bkank]-50K,7601.8,60.26,126.15
WP_LED80W_Venas,LED Exterior Luminaires,"New LED exterior luminaire - 10,000 lm - 19,999 lm",RL 153,"Venas Co., Limited",WP-80WI2D50H,,,11520,80,144,$250,$875.00,,WP-80WI2D50H,11520,80,144
WP_81W_11Klm_5KCCT,LED Exterior Luminaires,"New LED exterior luminaire - 10,000 lm - 19,999 lm",RL 153,RuggedGrade,RGL-DURADOBLADE-80WBSPSA1-ab50,,,11386,81.1,140.38,$300,"$1,050.00",S-H3ZWXB,RGL-DURADOBLADE-80WBSPSA1-ab50,11386,81.1,140.38
WP_LED119W,LED Exterior Luminaires,"New LED exterior luminaire - 10,000 lm - 19,999 lm",RL 153,GreenTek Energy Systems,GT-SWP-120W-LB[S;blank][R;blank][P;blank]-a50K,,,15517.3,119.5,129.85,$250,$875.00,,GT-SWP-120W-LB[S;blank][R;blank][P;blank]-a50K,15517.3,119.5,129.85
WP_LED201W,LED Exterior Luminaires,"New LED exterior luminaire - 20,000 lm - 29,999 lm",RL 154,RuggedGrade,RGL-SCOWP01B-200BA1-a[S;Blank][P;Blank]57,,,25792.9,201.13,128.24,$350,"$1,225.00",,RGL-SCOWP01B-200BA1-a[S;Blank][P;Blank]57,25792.9,201.13,128.24
WP_203W_25Klm_5KCCT,LED Exterior Luminaires,"New LED exterior luminaire - 20,000 lm - 29,999 lm",RL 154,RuggedGrade,RGL-SCOWP01B-200WBA1-abcd50,,,25012,202.5,123.55,$400,"$1,400.00",S-WIVGMJ,RGL-SCOWP01B-200WBA1-abcd50,25012,202.5,123.55
FLD_49W_6Klm_3KCCT,LED Exterior Luminaires,"New LED exterior luminaire - 5,000 lm - 9,999 lm",RL 152,Super Bright LEDs,FLCCT2-Zd-SP50-Xyabc,,,6260,49.1,127.39,$250,$875.00,S-KDIHX8,FLCCT2-Zd-SP50-Xyabc,6260,49.1,127.39
FLD_LED49W,LED Exterior Luminaires,"New LED exterior luminaire - 5,000 lm - 9,999 lm",RL 152,GreenTek Energy Systems,GT-FL06-50WCT1A1-40K,,,5778,49.18,117.49,$200,$700.00,,GT-FL06-50WCT1A1-40K,5778,49.18,117.49
